"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $417.08/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","None"
"0xe3df08619112a95059a4c72f2ce747606065199510891af367d962481102760a","9910988","1628604759","2021-08-10 14:12:39","0x079a889eb69013d451ecf45377258948116e2b3e","","0x6b3d617a968218d5075e2367da043e60c01596ff","0","0","0","0.00885348","3.6926094384","372.10","","",""
"0x13574c85f62c5e9a8bcdb9233b37875d1501a9de671aea7839aeb8c33a9b2bb7","9995687","1628865024","2021-08-13 14:30:24","0x416588e43d5193c598b2ee4ec19bac28a4673870","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.001142405","0.4764742774","411.25","","",""
"0x4edceb7c1cc457c5c56a072fa64a92f5ff5b76275f8d277bc34e8be3cbf2db88","9995687","1628865024","2021-08-13 14:30:24","0x6e08e04c1335428f650c660fe7cb9b8819e8a76c","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.001067405","0.4451932774","411.25","","",""
"0x1bacc871710f7496c2e09d4cb08f58323727ac173a8e87f99a36c85ae8d69035","9995688","1628865027","2021-08-13 14:30:27","0xd4bdaa7f7e7c35ee5b9f8c355bcac3ab7f776952","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.001280748","0.53417437584","411.25","","",""
"0xe7332737afb9674708d512460dc2abc11650eeebae7b155d88afd44475959588","9995688","1628865027","2021-08-13 14:30:27","0xbf5310fae4d7a0c6df0452bcda09aefa2748ad59","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.00106729","0.4451453132","411.25","","",""
"0x94cf546d166840855c3ea646e19af19327cdcacd18f9d09c1f75d7f55d0006b4","9995689","1628865030","2021-08-13 14:30:30","0x07b42486639ccc29852d7f2ccce86a6060b5c1cb","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.00106752","0.4452412416","411.25","","",""
"0xcb8e6470d6496139d60d16eff2cd65e0040fe65fd7ac68abeb730187c45f92c2","9995690","1628865033","2021-08-13 14:30:33","0xe2436ae406ca34a389dcec2b563b12d340bc261c","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.001067525","0.445243327","411.25","","",""
"0x06709a5c4162dcdb0a2f253eb67e6aa050c13e28d19fc77bae31139f20588125","9995690","1628865033","2021-08-13 14:30:33","0x368dd8f7a3fb3425d437eda7c4391e812e572003","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.001067525","0.445243327","411.25","","",""
"0x6788c643b7e15f55a07bd8dd85ef67114ff2cfc4b1a3b2239d985822569b70d1","9995691","1628865036","2021-08-13 14:30:36","0xb882b087bd80a0258f19d907849c8d64cac3dba1","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.001067525","0.445243327","411.25","","",""
"0x59196ad93d505db587675fb8a89b4f85a0bae4fd64c01f5141c18df6eed55b27","9995692","1628865039","2021-08-13 14:30:39","0x5b21188a831c0520411af8cfc5fa20eb159a396d","0x6b3d617a968218d5075e2367da043e60c01596ff","","0","0","0","0.001067525","0.445243327","411.25","","",""
